state,regional_division,population,article_title,revision_id,article_quality
Alabama,East South Central,5074296,"Abbeville, Alabama",1171163550,C
Alabama,East South Central,5074296,"Adamsville, Alabama",1177621427,C
Alabama,East South Central,5074296,"Addison, Alabama",1168359898,C
Alabama,East South Central,5074296,"Akron, Alabama",1165909508,GA
Alabama,East South Central,5074296,"Alabaster, Alabama",1179139816,C
Alabama,East South Central,5074296,"Albertville, Alabama",1179198677,C
Alabama,East South Central,5074296,"Alexander City, Alabama",1179140073,GA
Alabama,East South Central,5074296,"Aliceville, Alabama",1167792390,GA
Alabama,East South Central,5074296,"Allgood, Alabama",1165909718,C
Alabama,East South Central,5074296,"Altoona, Alabama",1165909823,C
Alabama,East South Central,5074296,"Andalusia, Alabama",1179141586,C
Alabama,East South Central,5074296,"Anderson, Lauderdale County, Alabama",662691565,Stub
Alabama,East South Central,5074296,"Anniston, Alabama",1176049382,C
Alabama,East South Central,5074296,"Arab, Alabama",1171375371,C
Alabama,East South Central,5074296,"Ardmore, Alabama",1176903479,GA
Alabama,East South Central,5074296,"Argo, Alabama",1177623964,C
Alabama,East South Central,5074296,"Ariton, Alabama",1166014478,C
Alabama,East South Central,5074296,"Arley, Alabama",1166014498,C
Alabama,East South Central,5074296,"Ashford, Alabama",1166014593,C
Alabama,East South Central,5074296,"Ashland, Alabama",1174331705,C
Alabama,East South Central,5074296,"Ashville, Alabama",1148844011,C
Alabama,East South Central,5074296,"Athens, Alabama",1175308807,C
Alabama,East South Central,5074296,"Atmore, Alabama",1167926420,C
Alabama,East South Central,5074296,"Attalla, Alabama",1165507856,C
Alabama,East South Central,5074296,"Auburn, Alabama",1179546364,C
Alabama,East South Central,5074296,"Autaugaville, Alabama",1166014815,C
Alabama,East South Central,5074296,"Avon, Alabama",1166014861,Start
Alabama,East South Central,5074296,"Babbie, Alabama",1168820544,Start
Alabama,East South Central,5074296,"Baileyton, Alabama",1166014939,C
Alabama,East South Central,5074296,"Bakerhill, Alabama",1166014954,Start
Alabama,East South Central,5074296,"Banks, Alabama",1166014997,C
Alabama,East South Central,5074296,"Bay Minette, Alabama",1177963600,C
Alabama,East South Central,5074296,"Bayou La Batre, Alabama",1177999052,C
Alabama,East South Central,5074296,"Bear Creek, Alabama",1166015184,GA
Alabama,East South Central,5074296,"Beatrice, Alabama",1166015214,C
Alabama,East South Central,5074296,"Beaverton, Alabama",1166015251,Start
Alabama,East South Central,5074296,"Belk, Alabama",1166015313,C
Alabama,East South Central,5074296,"Benton, Alabama",1166015434,C
Alabama,East South Central,5074296,"Berlin, Alabama",1166015476,Start
Alabama,East South Central,5074296,"Berry, Alabama",1166015515,C
Alabama,East South Central,5074296,"Bessemer, Alabama",1178999596,C
Alabama,East South Central,5074296,"Billingsley, Alabama",1166015695,Start
Alabama,East South Central,5074296,"Birmingham, Alabama",1179414429,B
Alabama,East South Central,5074296,"Black, Alabama",1166015772,Start
Alabama,East South Central,5074296,"Blountsville, Alabama",1105978061,GA
Alabama,East South Central,5074296,"Blue Springs, Alabama",1166015902,Start
Alabama,East South Central,5074296,"Boaz, Alabama",1177138566,GA
Alabama,East South Central,5074296,"Boligee, Alabama",1166015957,C
Alabama,East South Central,5074296,"Bon Air, Alabama",1166015981,C
Alabama,East South Central,5074296,"Brantley, Alabama",1165814013,C
Alabama,East South Central,5074296,"Brent, Alabama",1172245542,GA
Alabama,East South Central,5074296,"Brewton, Alabama",1162427481,GA
Alabama,East South Central,5074296,"Bridgeport, Alabama",1165537046,GA
Alabama,East South Central,5074296,"Brighton, Alabama",1177621572,C
Alabama,East South Central,5074296,"Brilliant, Alabama",1166016323,GA
Alabama,East South Central,5074296,"Brookside, Alabama",1170769013,C
Alabama,East South Central,5074296,"Brookwood, Alabama",1178216914,C
Alabama,East South Central,5074296,"Brundidge, Alabama",1165537457,C
Alabama,East South Central,5074296,"Butler, Alabama",1144752979,C
Alabama,East South Central,5074296,"Calera, Alabama",1165537934,C
Alabama,East South Central,5074296,"Camden, Alabama",1176316224,GA
Alabama,East South Central,5074296,"Camp Hill, Alabama",1166017104,C
Alabama,East South Central,5074296,"Carbon Hill, Alabama",1175376595,C
Alabama,East South Central,5074296,"Cardiff, Alabama",1166017260,Start
Alabama,East South Central,5074296,"Carolina, Alabama",1166017310,Start
Alabama,East South Central,5074296,"Carrollton, Alabama",1096812581,C
Alabama,East South Central,5074296,"Castleberry, Alabama",1166017442,Start
Alabama,East South Central,5074296,"Cedar Bluff, Alabama",1177836881,C
Alabama,East South Central,5074296,"Center Point, Alabama",1174837569,C
Alabama,East South Central,5074296,"Centre, Alabama",1164314017,C
Alabama,East South Central,5074296,"Centreville, Alabama",1172134285,C
Alabama,East South Central,5074296,"Chatom, Alabama",1159488446,C
Alabama,East South Central,5074296,"Chelsea, Alabama",1165539092,C
Alabama,East South Central,5074296,"Cherokee, Alabama",1166017755,C
Alabama,East South Central,5074296,"Chickasaw, Alabama",1165539195,C
Alabama,East South Central,5074296,"Childersburg, Alabama",1165539227,GA
Alabama,East South Central,5074296,"Citronelle, Alabama",1165539457,C
Alabama,East South Central,5074296,"Clanton, Alabama",1158612343,GA
Alabama,East South Central,5074296,"Clay, Alabama",1177621993,C
Alabama,East South Central,5074296,"Clayhatchee, Alabama",1166018079,Start
Alabama,East South Central,5074296,"Clayton, Alabama",1155236230,C
Alabama,East South Central,5074296,"Cleveland, Alabama",1168466910,C
Alabama,East South Central,5074296,"Clio, Alabama",1165644511,Start
Alabama,East South Central,5074296,"Coaling, Alabama",1166018304,C
Alabama,East South Central,5074296,"Coffee Springs, Alabama",1166018326,Start
Alabama,East South Central,5074296,"Coffeeville, Alabama",1166029689,C
